,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,updated_github_id,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
46,Simbody,simbody/simbody,[],physics,https://simtk.org/home/simbody,https://github.com/simbody/simbody,Apache-2.0,2013-08-16 00:21:53,2026-06-01 21:39:27,2026-06-01 21:39:26,5042.0,2.0,480.0,141.0,508.0,139.0,204.0,2525.0,2025-05-17 23:22:29,Simbody-3.8,,,11.0,High-performance C++ multibody dynamics/physics library for simulating articulated biomechanical and mechanical..,,,62.0,19,True,3.0,,,,,,,,,,,,,,,
47,MuJoCo playground,google-deepmind/mujoco_playground/,,ml,https://playground.mujoco.org/,https://github.com/google-deepmind/mujoco_playground,Apache-2.0,2024-12-03 22:39:09,2026-05-27 16:07:54,2026-05-27 16:07:04,209.0,26.0,308.0,20.0,103.0,63.0,108.0,1982.0,2026-03-16 18:52:37,0.2.0,,,6.0,An open-source library for GPU-accelerated robot learning and sim-to-real transfer.,,,,19,True,2.0,,,,,,,,,,,,,,,
48,RoboVerse,RoboVerseOrg/RoboVerse,,ml,https://roboverseorg.github.io/,https://github.com/RoboVerseOrg/RoboVerse,Apache-2.0,2025-04-04 03:00:06,2026-06-02 00:50:20,2026-06-01 23:15:56,1133.0,95.0,156.0,16.0,572.0,58.0,120.0,1748.0,,,5.0,0.0,2.0,"RoboVerse: Towards a Unified Platform, Dataset and Benchmark for Scalable and Generalizable Robot Learning.",,,47.0,19,True,2.0,,,,,,,,,,,,,,,
49,LocoMuJoCo,robfiras/loco-mujoco,,ml,https://loco-mujoco.readthedocs.io/,https://github.com/robfiras/loco-mujoco,MIT,2023-06-22 17:23:08,2026-05-02 20:04:37,2026-03-10 19:45:45,723.0,15.0,147.0,15.0,26.0,33.0,38.0,1404.0,2026-03-10 19:58:26,1.1.0,,,7.0,Imitation learning benchmark focusing on complex locomotion tasks using MuJoCo.,8.0,8.0,15.0,19,True,2.0,,,,,,,,,,,,,,,
50,Astrobee,NASA/astrobee,,space,https://github.com/nasa/astrobee,https://github.com/nasa/astrobee,Apache-2.0,2017-08-29 23:16:13,2025-12-02 17:42:45,2025-12-02 17:42:45,553.0,,355.0,62.0,621.0,15.0,194.0,1348.0,2024-07-19 22:29:17,0.19.1,,,23.0,NASA Astrobee Robot Software.,,,22.0,19,True,2.0,,,,,,,,,,,,,,,
51,MetaDrive,metadriverse/metadrive/,,ml,https://metadriverse.github.io/metadrive-simulator/,https://github.com/metadriverse/metadrive,Apache-2.0,2021-08-28 08:42:42,2025-08-15 18:57:56,2025-05-12 06:21:55,822.0,,176.0,18.0,444.0,99.0,314.0,1188.0,2024-12-06 17:31:09,MetaDrive-0.4.3,90091.0,1580.0,12.0,MetaDrive: Lightweight driving simulator for everyone.,,,,19,True,2.0,,,,,,,,,,,,,,,
52,Virtual RobotX,osrf/vrx,,maritime,https://github.com/osrf/vrx,https://github.com/osrf/vrx,Apache-2.0,2020-05-04 20:29:12,2026-06-02 18:14:12,2026-01-26 17:02:00,2465.0,,266.0,15.0,305.0,34.0,537.0,694.0,2025-11-26 14:36:35,3.1.0,,,19.0,Virtual RobotX (VRX) resources.,,,38.0,19,True,1.0,,,,,,,,,,,,,,,
53,pyrobosim,sea-bass/pyrobosim,[],flatsim,https://pyrobosim.readthedocs.io/,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2026-06-01 21:22:58,2026-06-01 21:22:56,556.0,6.0,70.0,15.0,310.0,6.0,121.0,379.0,2026-02-28 16:16:06,4.3.4,,615.0,17.0,ROS 2 enabled 2D mobile robot simulator for behavior prototyping.,7.0,7.0,20.0,19,True,2.0,pyrobosim,https://pypi.org/project/pyrobosim,615.0,,,,,,,,,,,,
54,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,,aerial,https://cosys-lab.github.io/Cosys-AirSim/,https://github.com/Cosys-Lab/Cosys-AirSim,mit,2022-08-22 09:24:58,2026-05-19 15:05:00,2026-01-14 13:58:11,5162.0,,119.0,11.0,36.0,48.0,41.0,369.0,2025-04-16 10:16:26,5.5-v3.3,13040.0,501.0,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",,,262.0,19,True,1.0,,,,,,,,,,,,,,,
55,PyFlyt,jjshoots/PyFlyt,,aerial,https://github.com/jjshoots/PyFlyt,https://github.com/jjshoots/PyFlyt,MIT,2022-05-27 15:44:46,2026-04-06 16:18:50,2026-04-06 16:18:50,1084.0,1.0,44.0,5.0,37.0,14.0,48.0,240.0,2025-03-01 13:09:21,0.29.0,,1612.0,34.0,UAV Flight Simulator for Reinforcement Learning Research.,39.0,39.0,12.0,19,True,1.0,pyflyt,https://pypi.org/project/pyflyt,1612.0,,,,,,,,https://taijunjet.com/PyFlyt/index.html,,,,
