,name,github_id,category,homepage,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,doc_url,labels,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,last_commit_pushed_at,commit_count,closed_issue_count,gitlab_id,gitlab_url
10,Gym,openai/gym,ml,https://www.gymlibrary.dev/,,24.0,24.0,385.0,https://github.com/openai/gym,MIT,2016-04-27 14:59:16,2024-10-11 20:07:05,20,8670.0,125.0,35972.0,A toolkit for developing and comparing reinforcement learning algorithms.,,,,,,,,,False,1.0,,[],,,,,,,,,,,,,
11,Gymnasium Robotics,Farama-Foundation/Gymnasium-Robotics,ml,https://robotics.farama.org/,gymnasium-robotics,371.0,350.0,41.0,https://github.com/Farama-Foundation/Gymnasium-Robotics,MIT,2021-10-25 18:10:57,2026-01-02 21:50:24,20,128.0,26.0,829.0,A collection of robotics simulation environments for reinforcement learning.,https://pypi.org/project/gymnasium-robotics,2026-01-02 21:50:24,2026-01-02 21:50:24,1.4.2,12.0,21.0,30296.0,30296.0,True,1.0,,,,,,,,,,,,,,,
12,airsim,microsoft/AirSim,aerial,https://github.com/microsoft/AirSim,,451.0,451.0,247.0,https://github.com/microsoft/AirSim,mit,2017-02-14 00:52:29,2025-05-15 20:28:58,19,4785.0,718.0,17560.0,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research.",,,,,,,,,False,1.0,https://microsoft.github.io/AirSim/,,,,,,,,,,,,,,
13,IR-SIM,hanruihua/ir-sim,flatsim,https://ir-sim.readthedocs.io/en,ir-sim,20.0,16.0,15.0,https://github.com/hanruihua/ir-sim,MIT,2022-05-30 03:51:40,2026-09-01 05:35:48,19,143.0,,1119.0,"A Python-based lightweight robot simulator designed for navigation, control, and learning.",https://pypi.org/project/ir-sim,2026-09-01 05:35:48,2026-09-01 05:35:48,2.11.0,66.0,4.0,1652.0,1652.0,True,1.0,,,,,,,,,,,,,,,
14,Genesis,Genesis-Embodied-AI/Genesis,ml,https://github.com/Genesis-Embodied-AI/Genesis,,125.0,125.0,111.0,https://github.com/Genesis-Embodied-AI/Genesis,Apache-2.0,2023-10-31 03:33:11,2025-08-06 03:34:27,17,2450.0,127.0,26982.0,A generative world for general-purpose robotics & embodied AI learning.,,,,,,,,,True,2.0,,,,,,,,,,,,,,,
15,Bullet Physics SDK,bulletphysics/bullet3,physics,http://bulletphysics.org/,,24.0,24.0,311.0,https://github.com/bulletphysics/bullet3,zlib,2011-04-12 18:45:08,2025-10-22 02:13:14,16,3049.0,408.0,14327.0,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects,..",,,,,,,,,True,1.0,,[],,,,,,,,,,,,,
16,BRAX,google/brax,physics,https://github.com/google/brax,,605.0,605.0,55.0,https://github.com/google/brax,Apache-2,2021-06-02 21:45:19,2026-03-15 22:31:34,16,332.0,105.0,3092.0,Massively parallel rigidbody physics simulation on accelerator hardware.,,,,,,,,,True,1.0,,,,,,,,,,,,,,,
17,AI2-thor,allenai/ai2thor,ml,https://ai2thor.allenai.org/,,401.0,401.0,53.0,https://github.com/allenai/ai2thor,Apache-2.0,2017-10-17 18:00:39,2025-08-07 19:36:12,16,254.0,270.0,1486.0,An open-source platform for Visual AI.,,,,,,,,,True,2.0,,,,,,,,,,,,,,,
18,pyrobosim,sea-bass/pyrobosim,flatsim,https://pyrobosim.readthedocs.io/,pyrobosim,9.0,9.0,20.0,https://github.com/sea-bass/pyrobosim,MIT,2022-01-17 13:04:18,2026-08-02 21:15:54,16,71.0,7.0,384.0,2D mobile robot simulator for behavior prototyping with optional ROS 2 interface.,https://pypi.org/project/pyrobosim,2026-08-02 21:15:54,2026-08-02 21:15:54,5.0.0,20.0,,595.0,595.0,True,2.0,,[],,,,,,,,,,,,,
19,Habitat Sim,facebookresearch/habitat-sim,ml,https://aihabitat.org/,,76.0,76.0,63.0,https://github.com/facebookresearch/habitat-sim,MIT,2019-02-04 23:14:28,2024-04-27 19:12:02,15,392.0,172.0,2373.0,"A flexible, high-performance 3D simulator for Embodied AI research.",,,,,,,,,True,2.0,,,,,,,,,,,,,,,
